datetime,totale_positivi
2020-01-22 18:00:00,0
2020-01-23 18:00:00,0
2020-01-24 18:00:00,0
2020-01-25 18:00:00,0
2020-01-26 18:00:00,0
2020-01-27 18:00:00,0
2020-01-28 18:00:00,0
2020-01-29 18:00:00,0
2020-01-30 18:00:00,0
2020-01-31 18:00:00,0
2020-02-01 18:00:00,1
2020-02-02 18:00:00,1
2020-02-03 18:00:00,1
2020-02-04 18:00:00,1
2020-02-05 18:00:00,1
2020-02-06 18:00:00,1
2020-02-07 18:00:00,1
2020-02-08 18:00:00,1
2020-02-09 18:00:00,2
2020-02-10 18:00:00,2
2020-02-11 18:00:00,2
2020-02-12 18:00:00,2
2020-02-13 18:00:00,2
2020-02-14 18:00:00,2
2020-02-15 18:00:00,2
2020-02-16 18:00:00,2
2020-02-17 18:00:00,2
2020-02-18 18:00:00,2
2020-02-19 18:00:00,2
2020-02-20 18:00:00,2
2020-02-21 18:00:00,2
2020-02-22 18:00:00,2
2020-02-23 18:00:00,2
2020-02-24 18:00:00,2
2020-02-25 18:00:00,6
2020-02-26 18:00:00,13
2020-02-27 18:00:00,15
2020-02-28 18:00:00,32
2020-02-29 18:00:00,45
2020-03-01 18:00:00,84
2020-03-02 18:00:00,120
2020-03-03 18:00:00,165
2020-03-04 18:00:00,222
2020-03-05 18:00:00,259
2020-03-06 18:00:00,400
2020-03-07 18:00:00,500
2020-03-08 18:00:00,673
2020-03-09 18:00:00,1073
2020-03-10 18:00:00,1695
2020-03-11 18:00:00,2277
2020-03-12 18:00:00,2277
2020-03-13 18:00:00,5232
2020-03-14 18:00:00,6391
2020-03-15 18:00:00,7798
2020-03-16 18:00:00,9942
2020-03-17 18:00:00,11748
2020-03-18 18:00:00,13910
2020-03-19 18:00:00,17963
2020-03-20 18:00:00,20410
2020-03-21 18:00:00,25374
2020-03-22 18:00:00,28768
2020-03-23 18:00:00,35136
2020-03-24 18:00:00,39885
2020-03-25 18:00:00,49515
2020-03-26 18:00:00,57786
2020-03-27 18:00:00,65719
2020-03-28 18:00:00,73235
2020-03-29 18:00:00,80110
2020-03-30 18:00:00,87956
2020-03-31 18:00:00,95923
2020-04-01 18:00:00,104118
2020-04-02 18:00:00,112065
2020-04-03 18:00:00,119199
2020-04-04 18:00:00,126168
2020-04-05 18:00:00,131646
2020-04-06 18:00:00,136675
2020-04-07 18:00:00,141942
2020-04-08 18:00:00,148220
2020-04-09 18:00:00,153222
2020-04-10 18:00:00,158273
2020-04-11 18:00:00,163027
2020-04-12 18:00:00,166831
2020-04-13 18:00:00,170099
2020-04-14 18:00:00,172541
2020-04-15 18:00:00,177644
2020-04-16 18:00:00,184948
2020-04-17 18:00:00,190839
2020-04-18 18:00:00,191726
2020-04-19 18:00:00,198674
2020-04-20 18:00:00,200210
2020-04-21 18:00:00,204178
2020-04-22 18:00:00,208389
2020-04-23 18:00:00,213024
2020-04-24 18:00:00,202990
2020-04-25 18:00:00,205905
2020-04-26 18:00:00,207634
2020-04-27 18:00:00,209465
2020-04-28 18:00:00,210773
2020-04-29 18:00:00,212917
2020-04-30 18:00:00,213435
2020-05-01 18:00:00,215216
2020-05-02 18:00:00,216582
2020-05-03 18:00:00,217466
2020-05-04 18:00:00,218011
2020-05-05 18:00:00,219329
2020-05-06 18:00:00,220325
2020-05-07 18:00:00,221447
2020-05-08 18:00:00,222857
2020-05-09 18:00:00,223578
2020-05-10 18:00:00,224350
2020-05-11 18:00:00,227436
2020-05-12 18:00:00,228030
2020-05-13 18:00:00,228691
2020-05-14 18:00:00,229540
2020-05-15 18:00:00,230183
2020-05-16 18:00:00,230698
2020-05-17 18:00:00,230698
2020-05-18 18:00:00,231606
2020-05-19 18:00:00,232037
2020-05-20 18:00:00,232555
2020-05-21 18:00:00,233037
2020-05-22 18:00:00,234824
2020-05-23 18:00:00,235290
2020-05-24 18:00:00,235772
2020-05-25 18:00:00,235400
2020-05-26 18:00:00,236259
2020-05-27 18:00:00,236259
2020-05-28 18:00:00,237906
2020-05-29 18:00:00,238564
2020-05-30 18:00:00,239228
2020-05-31 18:00:00,239479
2020-06-01 18:00:00,239638
2020-06-02 18:00:00,239932
2020-06-03 18:00:00,240326
2020-06-04 18:00:00,240660
2020-06-05 18:00:00,240978
2020-06-06 18:00:00,241310
2020-06-07 18:00:00,241550
2020-06-08 18:00:00,241717
2020-06-09 18:00:00,241966
2020-06-10 18:00:00,242280
2020-06-11 18:00:00,242707
2020-06-12 18:00:00,243209
2020-06-13 18:00:00,243605
2020-06-14 18:00:00,243928
2020-06-15 18:00:00,244109
2020-06-16 18:00:00,244328
2020-06-17 18:00:00,244683
2020-06-18 18:00:00,245268
2020-06-19 18:00:00,245575
2020-06-20 18:00:00,245938
2020-06-21 18:00:00,246272